year,player_0,pos,college,weight_0,forty,vertical,bench,broad,threecone,shuttle,Height,round_0,pick_0,side,position_0,overall,team_1,pos_rk,grade
2.0,1032.0,0.0,56.0,126.0,9.0,2.0,0.0,1.0,17.0,18.0,9.0,6.0,114.0,0.0,0.0,244,2.0,39.0,47.0
2.0,2657.0,4.0,17.0,59.0,8.0,1.0,0.0,2.0,0.0,30.0,0.0,4.0,107.0,1.0,4.0,145,11.0,18.0,22.0
2.0,1596.0,4.0,205.0,105.0,40.0,1.0,17.0,1.0,43.0,20.0,1.0,1.0,139.0,1.0,4.0,126,25.0,19.0,41.0
2.0,750.0,8.0,90.0,114.0,57.0,20.0,6.0,23.0,122.0,38.0,8.0,6.0,210.0,0.0,7.0,245,26.0,7.0,32.0
2.0,3305.0,6.0,1.0,2.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,1.0,6.0,74,14.0,11.0,13.0
2.0,3112.0,2.0,20.0,190.0,127.0,34.0,13.0,33.0,161.0,104.0,2.0,2.0,80.0,0.0,9.0,16,7.0,1.0,40.0
2.0,3152.0,2.0,35.0,175.0,58.0,12.0,24.0,23.0,166.0,56.0,8.0,1.0,27.0,0.0,5.0,123,0.0,14.0,42.0
2.0,2499.0,6.0,34.0,44.0,59.0,24.0,9.0,26.0,65.0,59.0,4.0,1.0,70.0,1.0,6.0,114,0.0,8.0,14.0
2.0,1619.0,4.0,79.0,96.0,5.0,4.0,14.0,3.0,4.0,24.0,0.0,2.0,86.0,1.0,1.0,27,16.0,2.0,9.0
2.0,911.0,4.0,21.0,120.0,58.0,0.0,5.0,0.0,0.0,0.0,4.0,4.0,141.0,1.0,4.0,133,30.0,9.0,11.0
2.0,1481.0,10.0,99.0,70.0,81.0,0.0,11.0,0.0,0.0,0.0,4.0,4.0,142.0,0.0,9.0,138,9.0,4.0,28.0
2.0,3239.0,3.0,48.0,19.0,43.0,21.0,7.0,5.0,0.0,0.0,6.0,3.0,11.0,0.0,3.0,41,6.0,4.0,11.0
2.0,299.0,0.0,63.0,103.0,9.0,19.0,0.0,21.0,57.0,9.0,3.0,0.0,58.0,0.0,0.0,78,27.0,11.0,11.0
2.0,3028.0,6.0,25.0,15.0,66.0,20.0,26.0,19.0,52.0,10.0,0.0,6.0,180.0,1.0,6.0,204,30.0,32.0,65.0
