year,player_0,pos,weight_0,forty,vertical,bench,broad,threecone,shuttle,school_abbr,overall,team_abbr,pos_rk,ovr_rk,grade,side,category,player_1,Height
2000,John Abraham,7.0,252,4,,,,,,26.0,13,18.0,NA,NA,NA,1.0,1.0,John Abraham,76
2000,Shaun Alexander,2.0,218,4,,,,,,6.0,19,17.0,NA,NA,NA,0.0,5.0,Shaun Alexander,72
2000,Darnell Alford,5.0,334,5,25,23,94,8,4,42.0,188,27.0,NA,NA,NA,0.0,3.0,Darnell Alford,76
2000,Kyle Allamon,9.0,253,4,29,,104,7,4,NaN,,NaN,,,,NaN,NaN,Kyle Allamon,74
2000,Rashard Anderson,1.0,206,4,34,,123,7,4,135.0,23,20.0,NA,NA,NA,1.0,0.0,Rashard Anderson,74
2000,Jake Arians,18.0,202,,,,,,,NaN,,NaN,,,,NaN,NaN,Jake Arians,70
2000,LaVar Arrington,7.0,250,4,,,,,,12.0,2,23.0,NA,NA,NA,1.0,4.0,LaVar Arrington,75
2000,Corey Atkins,7.0,237,4,31,21,112,7,4,NaN,,NaN,,,,NaN,NaN,Corey Atkins,72
2000,Kyle Atteberry,18.0,167,,,,,,,NaN,,NaN,,,,NaN,NaN,Kyle Atteberry,72
2000,Reggie Austin,1.0,175,4,35,17,119,7,4,67.0,125,29.0,NA,NA,NA,1.0,0.0,Reggie Austin,69
2000,John Baker,15.0,227,,,,,,,NaN,,NaN,,,,NaN,NaN,John Baker,75
2000,Mark Baniewicz,5.0,312,5,28,20,96,7,4,27.0,247,13.0,NA,NA,NA,0.0,3.0,Mark Baniewicz,78
2000,Rashidi Barnes,3.0,208,4,35,10,114,6,4,28.0,225,14.0,NA,NA,NA,1.0,0.0,Rashidi Barnes,72
2000,David Barrett,1.0,199,4,37,16,116,6,4,25.0,102,16.0,NA,NA,NA,1.0,0.0,David Barrett,70
2000,William Bartee,1.0,192,4,38,,124,6,3,11.0,54,27.0,NA,NA,NA,1.0,0.0,William Bartee,73
2000,Andrew Bayes,15.0,200,,,,,,,NaN,,NaN,,,,NaN,NaN,Andrew Bayes,74
2000,Terrance Beadles,8.0,312,5,,29,,,,NaN,,NaN,,,,NaN,NaN,Terrance Beadles,75
2000,Robert Bean,1.0,178,4,34,,122,6,4,19.0,133,7.0,NA,NA,NA,1.0,0.0,Robert Bean,71
2000,Anthony Becht,9.0,270,4,33,,123,6,4,39.0,27,18.0,NA,NA,NA,0.0,6.0,Anthony Becht,78
2000,Matt Beck,11.0,234,4,,,,,,NaN,,NaN,,,,NaN,NaN,Matt Beck,75
2000,Rogers Beckett,3.0,207,4,39,15,119,6,4,65.0,43,26.0,NA,NA,NA,1.0,0.0,Rogers Beckett,73
2000,Brad Bedell,8.0,302,5,31,17,103,7,4,28.0,206,14.0,NA,NA,NA,0.0,3.0,Brad Bedell,76
2000,Marcus Bell,11.0,237,4,31,21,111,7,4,76.0,123,16.0,NA,NA,NA,1.0,1.0,Marcus Bell,73
2000,Marcus Bell,11.0,237,4,31,21,111,7,4,76.0,123,16.0,NA,NA,NA,1.0,1.0,Marcus Bell,74
2000,Marcus Bell,11.0,237,4,31,21,111,7,4,76.0,123,16.0,NA,NA,NA,1.0,4.0,Marcus Bell,73
2000,Marcus Bell,11.0,237,4,31,21,111,7,4,76.0,123,16.0,NA,NA,NA,1.0,4.0,Marcus Bell,74
2000,Marcus Bell,11.0,237,4,31,21,111,7,4,53.0,116,17.0,NA,NA,NA,1.0,1.0,Marcus Bell,73
2000,Marcus Bell,11.0,237,4,31,21,111,7,4,53.0,116,17.0,NA,NA,NA,1.0,1.0,Marcus Bell,74
2000,Marcus Bell,11.0,237,4,31,21,111,7,4,53.0,116,17.0,NA,NA,NA,1.0,4.0,Marcus Bell,73
2000,Marcus Bell,11.0,237,4,31,21,111,7,4,53.0,116,17.0,NA,NA,NA,1.0,4.0,Marcus Bell,74
2000,Gary Berry,3.0,204,4,,,,,,3.0,126,15.0,NA,NA,NA,1.0,0.0,Gary Berry,71
2000,Michael Boireau,4.0,274,5,29,26,105,7,4,57.0,56,3.0,NA,NA,NA,1.0,1.0,Michael Boireau,76
2000,Matt Bowen,3.0,201,4,33,12,115,7,4,31.0,198,32.0,NA,NA,NA,1.0,0.0,Matt Bowen,73
2000,Carl Bradley,6.0,300,5,,,,,,NaN,,NaN,,,,NaN,NaN,Carl Bradley,74
2000,Tom Brady,10.0,211,5,24,,99,7,4,14.0,199,22.0,NA,NA,NA,0.0,7.0,Tom Brady,76
2000,Robert Brannon,6.0,309,5,28,28,99,7,4,NaN,,NaN,,,,NaN,NaN,Robert Brannon,76
2000,Keith Brown,2.0,216,4,30,,117,6,4,62.0,187,18.0,NA,NA,NA,NaN,NaN,Keith Brown,71
2000,Demario Brown,2.0,217,4,31,,107,7,4,NaN,,NaN,,,,NaN,NaN,Demario Brown,72
2000,Courtney Brown,4.0,269,4,,,,,,133.0,212,4.0,21,157,59,1.0,0.0,Courtney Brown,77
2000,Courtney Brown,4.0,269,4,,,,,,133.0,212,4.0,21,157,59,1.0,1.0,Courtney Brown,77
2000,Courtney Brown,4.0,269,4,,,,,,12.0,1,14.0,NA,NA,NA,1.0,0.0,Courtney Brown,77
2000,Courtney Brown,4.0,269,4,,,,,,12.0,1,14.0,NA,NA,NA,1.0,1.0,Courtney Brown,77
2000,Mike Brown,3.0,204,4,36,14,116,6,4,24.0,39,29.0,NA,NA,NA,1.0,0.0,Mike Brown,70
2000,Ralph Brown,1.0,185,4,,10,,,,24.0,140,25.0,NA,NA,NA,1.0,0.0,Ralph Brown,70
2000,Travis Brown,10.0,218,5,29,,101,7,4,NaN,,NaN,,,,NaN,NaN,Travis Brown,74
2000,Travis Brown,10.0,218,5,29,,101,7,4,NaN,,NaN,,,,NaN,NaN,Travis Brown,75
2000,Lamont Bryant,4.0,260,4,,17,,,,NaN,,NaN,,,,NaN,NaN,Lamont Bryant,75
2000,Marc Bulger,10.0,208,4,,,100,7,4,39.0,168,28.0,NA,NA,NA,0.0,7.0,Marc Bulger,74
2000,Keith Bulluck,7.0,244,4,38,,119,7,4,27.0,30,12.0,NA,NA,NA,1.0,4.0,Keith Bulluck,75
2000,Bill Burke,10.0,206,5,28,,107,7,4,NaN,,NaN,,,,NaN,NaN,Bill Burke,76
2000,Plaxico Burress,0.0,231,4,33,,115,,,23.0,8,5.0,NA,NA,NA,0.0,2.0,Plaxico Burress,77
2000,David Byrd,1.0,202,4,36,14,117,7,4,NaN,,NaN,,,,NaN,NaN,David Byrd,71
2000,Trung Canidate,2.0,193,4,,18,,,,53.0,31,32.0,NA,NA,NA,0.0,5.0,Trung Canidate,71
2000,Cooper Carlisle,8.0,297,5,31,28,100,7,4,4.0,112,21.0,NA,NA,NA,0.0,3.0,Cooper Carlisle,77
2000,Giovanni Carmazzi,10.0,224,4,36,,119,6,4,208.0,65,1.0,NA,NA,NA,0.0,7.0,Giovanni Carmazzi,75
2000,Leonardo Carson,4.0,283,5,28,22,106,7,4,21.0,113,26.0,NA,NA,NA,1.0,1.0,Leonardo Carson,73
2000,Tyrone Carter,3.0,190,4,41,16,121,6,4,62.0,118,3.0,NA,NA,NA,1.0,0.0,Tyrone Carter,68
2000,Kwame Cavil,0.0,208,4,39,,118,,,NaN,,NaN,,,,NaN,NaN,Kwame Cavil,74
2000,Chris Chaloupka,10.0,216,4,,,,,,NaN,,NaN,,,,NaN,NaN,Chris Chaloupka,74
2000,Doug Chapman,2.0,215,4,38,16,128,6,4,65.0,88,3.0,NA,NA,NA,0.0,5.0,Doug Chapman,70
2000,Ike Charlton,1.0,205,4,,16,126,,,22.0,52,17.0,NA,NA,NA,1.0,0.0,Ike Charlton,71
2000,Chrys Chukwuma,2.0,232,4,,,115,,,NaN,,NaN,,,,NaN,NaN,Chrys Chukwuma,73
2000,Joey Chustz,5.0,304,5,31,28,103,7,4,87.0,123,13.0,NA,NA,NA,0.0,3.0,Joey Chustz,79
2000,Pedro Cirino,3.0,197,4,,,,,,NaN,,NaN,,,,NaN,NaN,Pedro Cirino,71
2000,John Saint Clair,12.0,302,5,,25,,,,NaN,,NaN,,,,NaN,NaN,John Saint Clair,77
2000,Kendrick Clancy,6.0,283,5,27,25,108,7,4,37.0,72,5.0,NA,NA,NA,1.0,1.0,Kendrick Clancy,73
2000,Travis Claridge,8.0,303,5,31,29,100,7,4,0.0,37,19.0,NA,NA,NA,0.0,3.0,Travis Claridge,77
2000,Danny Clark,11.0,245,4,,20,,,,51.0,245,13.0,NA,NA,NA,1.0,4.0,Danny Clark,74
2000,Chad Clifton,5.0,334,5,30,24,102,7,4,20.0,44,15.0,NA,NA,NA,0.0,3.0,Chad Clifton,77
2000,Chris Cole,0.0,191,4,37,,125,6,4,15.0,70,21.0,NA,NA,NA,0.0,2.0,Chris Cole,72
2000,Chris Coleman,0.0,211,4,32,,110,6,4,NaN,,NaN,,,,NaN,NaN,Chris Coleman,72
2000,Cosey Coleman,8.0,322,5,28,,101,8,4,20.0,51,10.0,NA,NA,NA,0.0,3.0,Cosey Coleman,76
2000,Laveranues Coles,0.0,192,4,34,,115,6,4,2.0,78,18.0,NA,NA,NA,0.0,2.0,Laveranues Coles,71
2000,Chris Combs,6.0,286,5,,22,,,,88.0,173,5.0,NA,NA,NA,1.0,1.0,Chris Combs,77
2000,Chris Combs,6.0,286,5,,22,,,,88.0,173,5.0,NA,NA,NA,0.0,6.0,Chris Combs,77
2000,Chris Combs,6.0,286,5,,22,,,,101.0,106,12.0,NA,NA,NA,1.0,1.0,Chris Combs,77
2000,Chris Combs,6.0,286,5,,22,,,,101.0,106,12.0,NA,NA,NA,0.0,6.0,Chris Combs,77
2000,Kurth Connell,5.0,291,5,33,27,103,8,4,NaN,,NaN,,,,NaN,NaN,Kurth Connell,76
2000,Rameel Connor,4.0,276,5,35,25,121,7,4,NaN,,NaN,,,,NaN,NaN,Rameel Connor,75
2000,D.J. Cooper,6.0,277,5,28,,108,7,4,NaN,,NaN,,,,NaN,NaN,D.J. Cooper,75
2000,Ashley Cooper,3.0,208,4,,16,117,,,NaN,,NaN,,,,NaN,NaN,Ashley Cooper,70
2000,Renard Cox,1.0,192,4,38,13,111,7,,NaN,,NaN,,,,NaN,NaN,Renard Cox,71
2000,Casey Crawford,9.0,244,4,,18,,,,NaN,,NaN,,,,NaN,NaN,Casey Crawford,78
2000,Sedrick Curry,1.0,197,4,39,,125,6,3,NaN,,NaN,,,,NaN,NaN,Sedrick Curry,73
2000,Chris Daniels,0.0,217,4,33,,115,7,4,NaN,,NaN,,,,NaN,NaN,Chris Daniels,75
2000,Brandon Daniels,0.0,211,4,,,,,,NaN,,NaN,,,,NaN,NaN,Brandon Daniels,70
2000,Joe Dean Davenport,9.0,268,5,30,13,108,7,4,NaN,,NaN,,,,NaN,NaN,Joe Dean Davenport,79
2000,Darren Davis,2.0,189,4,32,13,109,7,4,NaN,,NaN,,,,NaN,NaN,Darren Davis,68
2000,Adam Davis,8.0,309,5,26,,92,8,5,NaN,,NaN,,,,NaN,NaN,Adam Davis,76
2000,JaJuan Dawson,0.0,199,4,34,,117,6,4,96.0,79,14.0,NA,NA,NA,0.0,2.0,JaJuan Dawson,73
2000,Ron Dayne,2.0,259,4,,,,,,32.0,11,25.0,NA,NA,NA,0.0,5.0,Ron Dayne,71
2000,Jerry DeLoach,6.0,314,4,31,19,101,7,4,NaN,,NaN,,,,NaN,NaN,Jerry DeLoach,75
2000,Mike Derouselle,6.0,314,5,27,27,96,7,4,NaN,,NaN,,,,NaN,NaN,Mike Derouselle,74
2000,Na'il Diggs,7.0,231,4,,,,,,3.0,98,15.0,NA,NA,NA,1.0,4.0,Na'il Diggs,76
2000,Reuben Droughns,2.0,215,4,30,13,115,7,4,17.0,81,9.0,NA,NA,NA,0.0,5.0,Reuben Droughns,71
2000,Ron Dugans,0.0,206,4,,,117,,,2.0,66,7.0,NA,NA,NA,0.0,2.0,Ron Dugans,73
2000,Deon Dyer,16.0,260,4,28,,104,7,4,30.0,117,24.0,NA,NA,NA,0.0,5.0,Deon Dyer,71
2000,Chris Edwards,7.0,226,4,,,,,,NaN,,NaN,,,,NaN,NaN,Chris Edwards,77
2000,Mario Edwards,1.0,191,4,,,120,,,2.0,180,4.0,NA,NA,NA,1.0,1.0,Mario Edwards,72
2000,Mario Edwards,1.0,191,4,,,120,,,2.0,180,4.0,NA,NA,NA,1.0,0.0,Mario Edwards,72
2000,Shaun Ellis,4.0,280,4,,,,,,20.0,12,18.0,NA,NA,NA,1.0,1.0,Shaun Ellis,76
2000,John Engelberger,4.0,260,4,34,24,115,6,4,22.0,35,1.0,NA,NA,NA,1.0,1.0,John Engelberger,76
2000,Dwan Epps,11.0,242,4,34,8,,,,NaN,,NaN,,,,NaN,NaN,Dwan Epps,73
2000,Matt Farmer,0.0,190,4,33,,108,6,3,NaN,,NaN,,,,NaN,NaN,Matt Farmer,72
2000,Danny Farmer,0.0,217,4,,,,,,29.0,103,5.0,NA,NA,NA,0.0,2.0,Danny Farmer,75
