year,player,pos,height_0,weight_0,forty,vertical,bench,broad,threecone,shuttle,school_abbr,overall,team_abbr,pos_rk,ovr_rk,grade,side,category
2001,Chris Brown,5.0,,329,5,,30,,,,28.0,93,12.0,NA,NA,NA,1.0,0.0
2006,LeKevin Smith,6.0,,316,4,30,30,109,7,4,NaN,,NaN,,,,NaN,NaN
2011,Pernell McPhee,4.0,,278,4,28,20,107,7,4,19.0,165,6.0,17,137,63,1.0,1.0
2013,Steve Beauharnais,11.0,,240,4,33,19,118,6,4,66.0,235,22.0,7,138,62,1.0,4.0
2016,Thomas Duarte,9.0,,231,4,33,12,118,6,4,29.0,231,24.0,20,163,58,0.0,6.0
2018,Marcell Harris,3.0,,208,,,16,,,,4.0,184,1.0,28,330,31,1.0,0.0
2019,Lukas Denis,3.0,,190,4,33,16,116,6,4,42.0,NA,0.0,18,192,56,NaN,NaN
2000,Travares Tillman,3.0,,194,4,37,15,123,6,4,56.0,58,2.0,NA,NA,NA,1.0,0.0
2001,Morlon Greenwood,7.0,,237,4,33,21,112,7,4,27.0,88,24.0,NA,NA,NA,1.0,4.0
2001,LaShaun Mack,12.0,,299,5,26,17,92,8,4,NaN,,NaN,,,,NaN,NaN
2003,Demetrin Veal,4.0,,288,5,,26,111,,,20.0,238,19.0,NA,NA,NA,1.0,1.0
2006,Haloti Ngata,6.0,,338,5,31,37,110,7,4,17.0,12,6.0,2,10,96,1.0,1.0
2015,Bryan Bennett,10.0,,211,4,37,,125,7,4,159.0,NA,0.0,8,279,36,NaN,NaN
2015,Tye Smith,1.0,,195,4,36,15,124,6,3,192.0,170,17.0,20,172,51,1.0,0.0
2017,Colin Holba,21.0,,248,5,28,,115,,,33.0,213,5.0,1,NA,30,2.0,10.0
2019,Deebo Samuel,0.0,,214,4,39,15,122,7,4,26.0,36,1.0,3,39,86,0.0,2.0
2021,Jake Curhan,14.0,,316,5,24,15,102,8,4,35.0,NA,0.0,21,277,34,NaN,NaN
2001,Michael Bennett,2.0,,207,4,39,13,130,,,15.0,NA,0.0,12,99,70,1.0,1.0
2022,Blaise Andries,8.0,,308,5,30,,106,7,4,NaN,,NaN,,,,NaN,NaN
2001,Steve Smith,0.0,,184,4,38,,121,7,4,12.0,81,35.0,NA,NA,NA,1.0,0.0
2003,Paul Arnold,0.0,,213,4,40,,131,6,4,NaN,,NaN,,,,NaN,NaN
2003,Robert Johnson,9.0,,278,4,33,18,115,7,4,18.0,148,12.0,20,NA,37,1.0,0.0
2003,Reno Mahe,0.0,,198,4,32,,109,7,4,NaN,,NaN,,,,NaN,NaN
2011,Jake Locker,10.0,,231,4,35,,120,6,4,34.0,8,12.0,3,25,90,0.0,7.0
2012,Danny Coale,0.0,,201,4,35,12,115,6,4,22.0,152,4.0,21,152,59,0.0,2.0
2012,Nick Provo,9.0,,237,4,,,,,,NaN,,NaN,,,,NaN,NaN
2013,Corey Fuller,0.0,,204,4,31,12,120,,,22.0,171,9.0,36,NA,37,1.0,0.0
2015,Duke Johnson,2.0,,207,4,33,,121,,,13.0,77,14.0,5,65,78,0.0,5.0
2017,Brian Allen,1.0,,215,4,34,15,117,6,4,16.0,204,11.0,NA,NA,NA,1.0,4.0
2019,Lj Scott,2.0,,227,,33,21,120,7,4,NaN,,NaN,,,,NaN,NaN
