Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Team,Round,Pick,side,category,pos_abbr,school_abbr,overall,pos_rk,ovr_rk,grade
Nick O'Toole,14.0,75,219,5.05,,,,,,2016,NaN,,,NaN,NaN,NaN,NaN,,,,
Christian Kirk,0.0,70,201,4.47,35.5,20.0,115.0,7.09,4.45,2018,NaN,,,0.0,3.0,0.0,17.0,47,3,42,85
Lendy Holmes,11.0,72,206,4.65,32.0,16.0,112.0,7.28,4.32,2009,NaN,,,NaN,NaN,NaN,NaN,,,,
Jonathan Dowling,11.0,75,190,4.52,33.5,8.0,118.0,7.04,4.24,2014,23.0,7,247,1.0,0.0,12.0,91.0,NA,14,208,46
Joe Adams,0.0,71,179,4.51,36.0,,123.0,7.09,,2012,9.0,4,104,0.0,7.0,0.0,21.0,104,9,78,76
Ryan Hannam,9.0,74,251,4.69,30.5,18.0,113.0,7.07,4.21,2002,0.0,5,169,0.0,6.0,8.0,106.0,169,NA,NA,NA
James Jones,0.0,73,207,4.54,34.0,22.0,119.0,7.06,4.2,2007,5.0,3,78,0.0,3.0,1.0,4.0,13,NA,NA,NA
Antwuan Reed,1.0,70,188,4.58,36.5,14.0,124.0,,4.2,2012,NaN,,,NaN,NaN,NaN,NaN,,,,
Ron Johnson,0.0,74,225,4.7,34.5,,118.0,7.12,4.02,2002,1.0,4,123,0.0,3.0,0.0,57.0,123,NA,NA,NA
Tim Williams,6.0,75,244,4.68,33.5,,124.0,7.36,4.57,2017,1.0,3,78,1.0,0.0,10.0,6.0,78,5,60,80
Allen Reisner,15.0,74,248,4.9,28.0,14.0,108.0,7.31,4.59,2011,NaN,,,NaN,NaN,8.0,0.0,NA,18,285,33
Shaquelle Evans,0.0,73,213,4.51,34.5,13.0,122.0,7.07,4.21,2014,25.0,4,115,0.0,3.0,NaN,NaN,,,,
D.J. Ware,2.0,72,225,4.61,,21.0,,,,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Courtney Brown,3.0,77,269,4.78,,,,,,2000,2.0,1,1,1.0,1.0,5.0,118.0,212,21,157,59
Brian Robiskie,0.0,75,209,4.46,37.5,,,6.72,4.19,2009,2.0,2,36,0.0,3.0,0.0,2.0,36,10,72,77
Brian Orakpo,3.0,75,263,4.63,39.5,31.0,,,,2009,28.0,1,13,1.0,4.0,2.0,16.0,13,2,9,95
Billy Price,13.0,76,305,,,,,,,2018,NaN,,,0.0,2.0,18.0,2.0,21,3,33,86
Vincent Taylor,5.0,75,304,5.07,28.5,26.0,108.0,7.58,4.72,2017,18.0,6,194,1.0,1.0,4.0,33.0,194,15,151,60
Jonas Crafts,9.0,75,247,4.89,,24.0,,,,2005,NaN,,,NaN,NaN,8.0,84.0,NA,17,273,42
Adam Terry,4.0,80,330,5.4,28.0,,96.0,7.89,4.78,2005,1.0,2,64,0.0,2.0,3.0,48.0,64,5,57,84
Oday Aboushi,4.0,77,308,5.41,23.5,17.0,100.0,7.92,4.84,2013,25.0,5,141,0.0,2.0,7.0,41.0,141,9,140,62
Gary Russell,2.0,70,229,4.77,31.5,9.0,113.0,,4.54,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Leonard Fournette,2.0,72,240,4.51,28.5,,,,,2017,20.0,1,4,0.0,5.0,1.0,1.0,4,1,4,93
Josh Sweat,18.0,76,251,4.53,39.5,,124.0,,4.28,2018,NaN,,,1.0,1.0,2.0,5.0,130,5,72,77
Calvin Dawson,2.0,68,199,4.5,,,,,,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Bryan Thomas,3.0,76,266,4.47,34.5,33.0,,,,2002,25.0,1,22,1.0,1.0,1.0,39.0,132,NA,NA,NA
Brandon Linder,7.0,78,311,5.35,26.5,30.0,100.0,,,2014,20.0,3,93,0.0,2.0,7.0,8.0,93,8,154,56
Efrem Hill,0.0,72,179,4.58,37.5,,124.0,7.42,4.07,2005,NaN,,,NaN,NaN,0.0,135.0,NA,39,318,34
Leonard Peters,11.0,73,210,4.8,32.5,21.0,110.0,7.49,,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Rod Gardner,0.0,74,219,4.48,,,,,,2001,28.0,1,15,0.0,3.0,0.0,14.0,15,NA,NA,NA
DeMario Pressley,5.0,75,301,5.09,25.5,28.0,100.0,,,2008,27.0,5,144,1.0,1.0,4.0,43.0,144,10,100,70
D.J. Foster,0.0,70,193,4.57,35.5,14.0,117.0,6.75,4.07,2016,NaN,,,NaN,NaN,0.0,29.0,NA,31,216,49
Deuce Lutui,7.0,76,334,5.35,28.0,26.0,97.0,8.04,4.76,2006,11.0,2,41,0.0,2.0,7.0,3.0,41,3,59,83
Lofa Tatupu,10.0,72,238,4.83,35.0,23.0,113.0,7.31,4.16,2005,0.0,2,45,1.0,4.0,9.0,3.0,45,6,137,65
Bennie Fowler,0.0,73,217,4.52,36.0,,126.0,7.06,4.18,2014,NaN,,,NaN,NaN,0.0,31.0,NA,41,300,33
Darcel McBath,11.0,72,198,4.53,38.0,14.0,119.0,6.8,4.16,2009,13.0,2,48,1.0,0.0,12.0,63.0,48,6,101,69
Kenneth Pettway,6.0,75,236,4.69,32.5,22.0,114.0,7.29,4.31,2005,16.0,7,227,1.0,1.0,9.0,87.0,227,22,341,31
Marcus Thomas-01,5.0,75,314,5.23,,27.0,,,,2007,13.0,4,121,NaN,NaN,NaN,NaN,,,,
Adrian Hubbard,6.0,78,257,4.69,38.5,,117.0,,,2014,NaN,,,NaN,NaN,10.0,6.0,NA,9,104,67
Ron Edwards,5.0,75,293,4.86,,,,,,2001,7.0,3,76,1.0,1.0,4.0,17.0,76,NA,NA,NA
Jarrett Payton,2.0,72,220,4.66,31.0,,115.0,7.34,4.31,2004,NaN,,,NaN,NaN,NaN,NaN,,,,
Howard Wilson,1.0,73,184,4.57,33.5,,119.0,6.68,3.94,2017,2.0,4,126,1.0,0.0,6.0,78.0,126,18,133,66
Kevin Curtis-01,11.0,74,212,4.53,37.5,24.0,124.0,6.75,3.88,2002,4.0,4,127,NaN,NaN,NaN,NaN,,,,
Guy Whimper,4.0,77,304,4.96,29.0,26.0,102.0,7.38,4.59,2006,30.0,4,129,1.0,1.0,3.0,77.0,129,9,119,67
Robert Alford,1.0,70,188,4.39,40.0,17.0,132.0,6.89,4.23,2013,21.0,2,60,1.0,0.0,6.0,136.0,60,10,67,78
Jason Brown,13.0,75,313,5.4,30.5,23.0,105.0,7.72,4.51,2005,1.0,4,124,0.0,2.0,14.0,28.0,124,4,102,71
Dexter McDougle,1.0,70,196,4.47,,,,,,2014,25.0,3,80,1.0,0.0,NaN,NaN,,,,
Antonio Coleman,6.0,73,255,4.76,,18.0,113.0,,,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
Jamaal Anderson,3.0,77,288,4.75,,,,,,2007,21.0,1,8,1.0,1.0,2.0,21.0,8,2,11,95
Tyrone Goard,0.0,76,205,4.5,36.0,10.0,123.0,6.9,4.39,2013,NaN,,,NaN,NaN,NaN,NaN,,,,
Marcus Cannon,4.0,77,358,5.26,30.5,33.0,105.0,8.07,4.97,2011,19.0,5,138,0.0,2.0,3.0,49.0,138,12,131,64
Craig Bragg,0.0,73,196,4.46,36.0,,,,,2005,5.0,6,195,0.0,3.0,0.0,27.0,195,16,117,69
Anthony Kimble,2.0,72,216,4.54,36.0,17.0,122.0,7.08,4.4,2009,NaN,,,NaN,NaN,NaN,NaN,,,,
Scott Ravanesi,14.0,72,191,4.85,,,,,,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
D.J. Jones,5.0,73,319,5.04,28.5,25.0,108.0,7.73,4.65,2017,NaN,,,1.0,1.0,4.0,36.0,198,16,162,59
Justin Hardy,0.0,70,192,4.56,36.5,11.0,114.0,6.63,4.21,2015,21.0,4,107,0.0,3.0,0.0,77.0,107,14,78,73
Greg Eslinger,13.0,75,292,5.13,30.0,28.0,101.0,7.59,4.68,2006,13.0,6,198,0.0,2.0,14.0,57.0,198,3,92,73
Jordan Lomax,11.0,70,202,4.75,36.0,8.0,120.0,7.18,4.15,2016,NaN,,,NaN,NaN,12.0,23.0,NA,25,323,33
Mekale McKay,0.0,76,207,4.55,35.0,12.0,123.0,7.08,4.63,2016,NaN,,,NaN,NaN,NaN,NaN,,,,
Lamar Mady,7.0,74,317,5.48,23.0,35.0,95.0,8.07,4.82,2013,NaN,,,NaN,NaN,NaN,NaN,,,,
Jalston Fowler,15.0,71,254,4.94,33.5,23.0,114.0,7.56,4.4,2015,10.0,4,108,0.0,5.0,16.0,6.0,108,1,149,55
Daniel Carlson,16.0,77,213,,,,,,,2018,NaN,,,2.0,9.0,14.0,18.0,167,1,158,60
Kolby Listenbee,0.0,72,197,4.39,35.5,15.0,129.0,,,2016,7.0,6,192,0.0,3.0,0.0,49.0,192,18,158,59
Dion Lewis,2.0,67,193,4.56,34.5,17.0,112.0,6.9,4.18,2011,8.0,5,149,0.0,5.0,1.0,39.0,149,10,101,72
Troy Fumagalli,9.0,77,247,,,14.0,,,,2018,NaN,,,0.0,6.0,8.0,64.0,156,10,168,58
Roy Miller,5.0,73,310,4.93,32.0,36.0,103.0,8.01,4.74,2009,17.0,3,81,1.0,1.0,4.0,16.0,81,12,110,66
Jason Snelling,15.0,71,230,4.79,30.0,,111.0,7.06,4.37,2007,21.0,7,244,0.0,5.0,1.0,41.0,244,4,248,38
Edmund Kugbila,7.0,76,317,5.13,22.5,23.0,105.0,7.72,4.65,2013,9.0,4,108,0.0,2.0,7.0,261.0,108,14,192,52
