Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Team,Round,Pick,side,category,pos_abbr,school_abbr,overall,pos_rk,ovr_rk,grade
Nick O'Toole,1.8363448260662072,0.460305371067418,-0.5339226705928618,0.8825596646278607,NaN,NaN,NaN,NaN,NaN,2016,,,,,,,,,,,
Christian Kirk,-1.196775430716313,-1.449264660383262,-0.9327863998280296,-1.0118030731410137,0.5551342857575973,-0.15333126023037696,0.09452122185960143,0.3842839406218497,0.02913255943161301,2018,,,,0,3,0,17,47,3,42,85
Lendy Holmes,1.1863904853270957,-0.68543664780299,-0.8219909194849274,-0.42389739590239567,-0.1507508105503668,-0.7812891412556191,-0.22638312968585753,0.3842839406218497,0.02913255943161301,2009,,,,,,,,,,,
Jonathan Dowling,1.1863904853270957,0.460305371067418,-1.1765364565828544,-0.8484959405747321,0.0845442215522879,-2.0372049033061033,0.4154255734050604,0.3842839406218497,0.02913255943161301,2014,23,7,247,1,0,12,91,,14,208,46
Joe Adams,-1.196775430716313,-1.067350654093126,-1.4202865133376792,-0.8811573670879879,0.790429317860252,NaN,0.9502661593141587,0.3842839406218497,NaN,2012,9,4,104,0,7,0,21,104,9,78,76
Ryan Hannam,0.7530875915010213,0.07839136477728198,0.17516840360299216,-0.2932516898493697,-0.6213408747556761,-0.467310200742998,-0.11941501250403788,0.3842839406218497,0.02913255943161301,2002,0,5,169,0,6,8,106,169,,,
James Jones,-1.196775430716313,-0.303522641512854,-0.799831823416307,-0.7831730875482177,0.3198392536549426,0.16064768028224408,0.5223936905868801,0.3842839406218497,0.02913255943161301,2007,5,3,78,0,3,1,4,13,,,
Antwuan Reed,-0.9801239838032758,-1.449264660383262,-1.2208546487200953,-0.6525273814951917,0.790429317860252,-1.09526808176824,1.0572342764959783,NaN,0.02913255943161301,2012,,,,,,,,,,,
Ron Johnson,-1.196775430716313,0.07839136477728198,-0.40096809418113916,-0.260590263336114,0.3198392536549426,NaN,0.4154255734050604,0.3842839406218497,0.02913255943161301,2002,1,4,123,0,3,0,57,123,,,
Tim Williams,0.1031332507619099,0.460305371067418,0.020054731122649116,-0.32591311636262843,0.0845442215522879,NaN,1.0572342764959783,0.3842839406218497,0.02913255943161301,2017,1,3,78,1,0,10,6,78,5,60,80
