overall,year,player_0,pos,college,weight_0,forty,vertical,bench,broad,threecone,shuttle,Height,side,team_1,pos_rk,grade
81,0.352941176,0.335289187,0.238095238,0.032894737,0.946637427,0.998706532,0.982783357,0.977099237,0.965095986,0.998650847,0.998994585,0.902439024,0,0.333333333,0.961247637,0.960837887
-999,0.176470588,0.759262364,0.571428571,0.664473684,0.963450292,0.999810955,0.978957437,0.974236641,0.95113438,0.999662712,0.999452497,0.93902439,1,1,0,0
77,0.294117647,0.053981559,0,0.013157895,0.956140351,0.99919407,0.982305117,0.97519084,0.968586387,0.998928614,0.99948236,0.914634146,0.333333333,0.333333333,0.948015123,0.974499089
84,0.411764706,0.684492875,0.666666667,0.9375,0.909356725,0.998706532,0.985174558,0.974236641,0.967713787,0.998115154,0.998895039,0.890243902,0,0.888888889,0.945179584,0.984517304
-999,0.176470588,0.237049455,0.952380952,0.069078947,0.918128655,0.998895577,0.984218077,0.985687023,0.968586387,0.998045712,0.998875129,0.914634146,1,1,0,0
-999,0.647058824,0.15255658,0.142857143,0.845394737,0.926900585,0.998845829,0,0.974236641,0,0,0,0.93902439,1,1,0.963137996,0.949908925
-999,0.705882353,0.245096396,0.238095238,0.351973684,0.957602339,0.999273668,0.983261597,0,0.958987784,0.998730209,0.999074222,0.926829268,1,1,0.964083176,0.960837887
-999,1,0.414417435,0.952380952,0.555921053,0.910818713,0.998557286,0.985652798,0.96851145,0.97556719,0.997837387,0.998765629,0.914634146,1,1,0,0
94,0.823529412,0.024308466,0.714285714,0.335526316,0.953216374,0.999343316,0.980870397,0.976145038,0.956369983,0.999007976,0.999283268,0.951219512,0.333333333,0.888888889,0.958412098,0.963570128
-999,0.058823529,0.392455993,0.714285714,0.565789474,0.948830409,0.999373166,0.981348637,0.969465649,0.958115183,0.999117099,0.999024449,0.951219512,1,1,0.965973535,0.938979964
131,0.823529412,0.568147527,0.857142857,0.039473684,0.896929825,0.998417989,0.987565758,0.967557252,0.978184991,0.997886989,0.998795493,0.890243902,0.333333333,0.527777778,0.95463138,0.971766849
-999,0.235294118,0.495892707,0.952380952,0.651315789,0.915935673,0.99880603,0,0.974236641,0,0,0,0.951219512,1,1,0,0
-999,0.529411765,0.244928751,1,0.720394737,0.861111111,0.998557286,0.986131038,0.958969466,0.966841187,0,0.998974675,0.841463415,1,1,0,0
-999,0.529411765,0.334283319,0.80952381,0.259868421,0.903508772,0.998607034,0.988043998,0,0.97469459,0.998055633,0.998656128,0.93902439,1,1,0,0
-999,0.235294118,0.924056999,0.142857143,0.819078947,0.935672515,0.998736381,0,0,0,0,0,0.914634146,1,1,0,0
207,0.588235294,0.690192791,0,0.088815789,0.953947368,0.999293567,0.980392157,0.97519084,0.961605585,0.998571485,0.998904993,0.914634146,0.333333333,0.25,0.95557656,0.93715847
71,0.941176471,0.560268231,0.19047619,0.848684211,0.944444444,0.99878613,0,0.982824427,0,0.99834332,0,0.914634146,0,0.055555556,0.948015123,0.988160291
173,0,0.972338642,0.047619048,0.506578947,0.865497076,0.998417989,0.988522238,0.963740458,0.972076789,0.998025872,0.998506809,0.853658537,0,0.361111111,0.973534972,0.945355191
92,0.058823529,0.970159262,0.142857143,0.391447368,0.925438596,0.99879608,0.989000478,0.977099237,0.978184991,0.998214357,0.99885522,0.87804878,0,0.361111111,0.960302457,0.960837887
104,0.176470588,0.464207879,0.142857143,0.555921053,0.930555556,0.998875678,0.988043998,0.978053435,0.97469459,0.998164755,0.998795493,0.93902439,0,0.805555556,0.957466919,0.971766849
191,0.764705882,0.988097234,0.904761905,0.430921053,0.874269006,0.998497587,0.987565758,0.971374046,0.978184991,0.997698504,0.998576491,0.865853659,0,0.222222222,0.974480151,0.93715847
21,0.235294118,0.840067058,0.714285714,0.901315789,0.956140351,0.999452764,0,0.979961832,0,0,0,0.93902439,0.333333333,0.027777778,0.949905482,0.987249545
-999,0.705882353,0.966135792,0.80952381,0.664473684,0.876461988,0.99878613,0.983739837,0,0.971204188,0.997797706,0.998646173,0.865853659,1,1,0,0
174,0.294117647,0.922380553,0.80952381,0.276315789,0.891081871,0.998825929,0.982783357,0,0.964223386,0.997906829,0.998815402,0.93902439,0.333333333,0.25,0.952741021,0.952641166
159,0.764705882,0.480637049,0.571428571,0.848684211,0.972953216,0.99917417,0,0.985687023,0,0,0,0.926829268,0.333333333,0.055555556,0.950850662,0.972677596
33,0.647058824,0.624476111,0.904761905,0.013157895,0.896929825,0.998487637,0.989000478,0,0.976439791,0.99835324,0.998775583,0.87804878,0,0.638888889,0.945179584,0.989981785
-999,0.176470588,0.664878458,0.904761905,0.358552632,0.877192982,0.998547336,0.987087518,0.967557252,0,0.998283798,0.999163813,0.87804878,1,1,0,0
-999,0.058823529,0.189438391,0.142857143,0.483552632,0.926169591,0.998905527,0.985652798,0.979961832,0,0,0,0.914634146,1,1,0.972589792,0.93989071
